X1	X2	X3	X4	Y
0	30	150	100	0
0	32	100	90	0
0	24	120	80	0
0	28	135	75	0
0	31	110	95	0
0	28	360	78	0
1	27	390	140	0
0	33	155	102	0
0	35	130	98	0
0	31	220	80	0
1	24	310	105	0
0	29	130	162	0
0	27	220	104	0
0	29	356	155	0
0	35	300	101	0
0	40	210	79	0
0	20	200	160	0
0	15	312	99	0
0	33	201	140	0
1	38	249	83	0
0	40	320	145	0
0	25	158	159	0
0	29	198	92	0
0	31	150	83	0
0	23	155	146	0
0	30	209	78	0
0	41	296	81	0
0	38	204	114	0
0	25	269	130	0
0	36	295	96	0
0	31	150	128	0
0	27	200	133	0
0	24	240	82	0
0	29	190	148	0
0	48	600	200	1
0	52	580	220	1
0	52	598	215	1
0	53	521	170	1
0	59	478	190	1
0	47	400	175	1
0	49	428	182	1
0	53	486	215	1
0	61	507	222	1
0	47	420	185	1
0	54	460	226	1
0	48	420	175	1
0	60	600	176	1
0	47	585	188	1
1	25	300	160	0
1	34	180	84	0
1	23	190	120	0
1	26	148	141	0
1	30	167	92	0
1	31	254	94	0
1	23	304	80	0
1	41	287	82	0
1	22	268	140	0
1	41	260	154	0
1	22	195	115	0
1	25	308	92	0
1	31	170	81	0
0	38	300	148	0
1	15	152	162	0
1	40	197	88	0
1	56	480	190	1
1	60	520	170	1
0	50	540	170	1
1	54	400	210	1
1	49	410	180	1
1	60	535	175	1
1	60	485	190	1
1	52	475	210	1
0	49	600	212	1
0	49	563	220	1
1	51	419	170	1
1	48	501	200	1
1	60	585	230	1
1	59	600	170	1
1	51	590	180	1
1	58	560	200	1
1	56	432	185	1
1	49	400	210	1
0	60	586	225	1
1	50	545	171	1
1	48	590	190	1
1	49	430	201	1
1	58	445	180	1
1	55	570	220	1
1	58	550	204	1
1	57	496	236	1
0	55	400	180	1
1	53	480	174	1
1	48	525	196	1
1	48	600	182	1
1	45	500	231	1
1	60	547	210	1
1	60	460	212	1
1	57	420	184	1
0	54	600	170	1
1	58	570	213	1
